Entity,Code,Year,Percentage of scheduled time teacher is present in classroom (% of time officially allocated to schooling)
Brazil,BRA,2009,87.325
Cambodia,KHM,2008,84
Egypt,EGY,2002,93.44978166
Ghana,GHA,2009,55.12690355
Kenya,KEN,2012,52
Laos,LAO,2007,93
Lebanon,LBN,2002,90.38461538
Madagascar,MDG,2016,58.09
Morocco,MAR,2009,90.1
Mozambique,MOZ,2012,44
Nigeria,NGA,2012,77
Senegal,SEN,2012,69
Tanzania,TZA,2012,55.21
Togo,TGO,2012,60
Tunisia,TUN,2009,89.89473684
Uganda,UGA,2012,43
Yemen,YEM,2002,91.90821256
Zambia,ZMB,2016,58.1
